modelId,createdAt,last_modified,predicted_tag
Rerare/distilbert-base-uncased-finetuned-cola,2022-04-28 12:36:56,2022-04-29 02:19:11,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
danjohnvelasco/roberta-tagalog-base-cohfie-v1,2022-04-07 12:08:53,2022-04-09 09:27:08,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
hafidber/fruits,2022-04-07 15:02:49,2022-04-07 15:02:57,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by classification']"
Sam4669/distilbert-base-uncased-finetuned-emotion,2022-04-02 13:00:45,2022-04-02 13:16:26,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
Felix92/doctr-dummy-torch-crnn-mobilenet-v3-large,2022-04-14 09:27:12,2022-04-14 09:27:19,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision problems', 'Object recognition']"
north/t5_base_NCC_modern,2022-05-21 11:45:36,2022-10-13 14:32:34,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
osanseviero/q-FrozenLake-v1-noSlippery1,2022-05-19 20:40:31,2022-05-19 21:12:11,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Inverse reinforcement learning']"
nepp1d0/TAPE-finetuned-viralProteins,2022-05-13 19:33:59,2022-05-13 21:27:09,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by classification']"
vickyjm/dqn-LunarLander-v2,2022-05-05 02:37:26,2022-05-05 02:37:57,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Inverse reinforcement learning']"
anas-awadalla/splinter-large-few-shot-k-512-finetuned-squad-seed-0,2022-05-14 22:04:57,2022-05-14 22:18:10,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
robert1003/q-Taxi-v3,2022-05-22 09:09:53,2022-05-22 09:10:06,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
valurank/finetuned-distilbert-news-article-categorization,2022-05-26 22:56:09,2022-12-24 09:39:01,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
spasis/bert-finetuned-squad,2022-05-22 14:03:14,2022-05-22 15:56:08,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Lexical semantics']"
marleyshan21/ppo-LunarLander-v2_try3,2022-05-06 07:52:03,2022-05-06 15:55:00,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Regularization']"
wrice/wav2vec2-base-timit-demo-google-colab,2022-05-25 17:51:14,2022-05-26 00:23:52,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by regression']"
airi/bert-finetuned-protagonist-english-pc,2022-05-18 15:31:14,2022-05-18 18:01:04,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
huggingtweets/andrewf301,2022-05-04 16:24:16,2022-05-04 16:37:26,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Ontology engineering']"
brresnic/ppo-LunarLander-v2,2022-05-14 23:57:20,2022-05-15 00:37:05,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning settings', 'Learning from demonstrations']"
Lemswasabi/wav2vec2-large-xlsr-53-842h-luxembourgish-8h,2022-05-26 15:29:10,2023-01-08 14:38:05,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning settings', 'Semi-supervised learning settings']"
laurens88/finetuning-crypto-tweet-sentiment-test2,2022-05-21 12:44:11,2022-05-21 13:19:41,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing']"
eduardopds/dummy-model,2022-05-10 11:55:43,2022-05-10 12:04:39,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
patrickvonplaten/opt_metaseq_1300m,2022-05-10 17:31:55,2022-06-21 17:52:22,"['Computing methodologies', 'Artificial intelligence', 'Distributed artificial intelligence', 'Multi-agent systems']"
magitz/ppo-LunarLander-v2-HFcourse,2022-05-05 01:05:35,2022-05-05 01:06:58,"['Computing methodologies', 'Artificial intelligence', 'Control methods', 'Robotic planning']"
maesneako/gpt2-fr-eos-paco-cheese,2022-05-05 04:29:18,2022-05-05 04:47:13,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
lafias/dataset-references,2022-05-31 17:09:29,2022-06-21 20:54:25,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
Ukhushn/distilbert-base-uncased-finetuned-homedepot-SBERT,2022-05-20 20:07:06,2022-05-20 20:07:14,"['Computing methodologies', 'Artificial intelligence', 'Planning and scheduling', 'Planning with abstraction and generalization']"
CH0KUN/autotrain-TNC_Data1000_wangchanBERTa-927730545,2022-05-30 06:27:15,2022-05-30 06:32:34,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by classification']"
KrusHan/DQN-LunarLander-v2,2022-05-15 15:57:14,2022-05-21 14:30:50,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
hfl/chinese-pert-base-mrc,2022-05-05 03:17:31,2022-05-05 08:45:07,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
chrishistewandb/hugging-face,2022-05-06 21:45:03,2022-05-11 19:49:11,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Machine translation']"
BigSalmon/InformalToFormalLincoln51,2022-06-10 02:03:20,2022-06-10 02:22:40,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
jungealexander/distilbert-base-uncased-finetuned-go_emotions_20220608_1,2022-06-08 18:30:37,2022-06-08 20:14:00,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
ahmeddbahaa/t5-arabic-base-finetuned-xlsum-ar,2022-06-11 01:21:55,2022-06-11 19:13:08,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
research-backup/t5-base-subjqa-vanilla-movies-qg,2022-06-18 14:03:53,2022-12-04 10:16:50,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
Suva/uptag-url-model-v2,2022-06-17 04:46:15,2022-06-22 05:48:40,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
huggingtweets/aylesim,2022-06-09 11:10:17,2022-06-09 11:10:26,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
tjscollins/atari-dqn,2022-06-27 01:44:58,2022-06-27 01:45:40,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Regularization']"
huggingtweets/heylookaturtle,2022-06-07 00:48:04,2022-06-07 00:50:23,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
YeRyeongLee/electra-base-discriminator-finetuned-filtered-0609,2022-06-09 07:24:13,2022-06-09 14:00:07,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
RicardFos/q-FrozenLake-v1-4x4-noSlippery,2022-06-30 14:33:55,2022-06-30 14:34:02,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Regularization']"
chandrasutrisnotjhong/distilbert-base-uncased-finetuned-imdb,2022-06-18 02:42:06,2022-06-20 04:59:03,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
jwang/tuned-t5,2022-06-24 06:16:12,2022-06-24 06:18:32,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
Eulaliefy/distilbert-base-uncased-finetuned-ner,2022-06-03 15:00:39,2022-06-03 18:21:14,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
vjeansel/RI,2022-06-04 18:21:37,2022-06-04 19:06:55,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
Sanjeev49/marian-finetuned-kde4-en-to-fr,2022-06-15 12:07:09,2022-06-17 06:31:10,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning settings', 'Learning from critiques']"
dibsondivya/distilbert-phmtweets-sutd,2022-06-19 10:09:47,2022-06-19 11:40:42,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
research-backup/t5-base-squadshifts-nyt-qg,2022-06-15 00:01:50,2022-12-04 10:45:33,"['Computing methodologies', 'Artificial intelligence', 'Philosophical/theoretical foundations of artificial intelligence']"
ianspektor/dqn-SpaceInvadersNoFrameskip-v4,2022-06-13 17:47:44,2022-06-13 17:48:28,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Learning in probabilistic graphical models', 'Bayesian network models']"
Anery/bert-finetuned-ner,2022-06-07 20:44:49,2022-06-07 22:48:14,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
Sohaibsyed/wav2vec2-large-xls-r-300m-turkish-colab,2022-06-08 16:53:05,2022-06-08 20:48:31,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
philschmid/quantized-distilbert-banking77,2022-06-07 14:18:48,2022-06-08 07:01:03,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing']"
tjscollins/q-Taxi-v3-broken-eval-seed,2022-06-11 21:38:44,2022-06-11 21:38:53,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning settings', 'Learning from demonstrations']"
jkhan447/sarcasm-detection-RoBerta-base-POS,2022-06-14 06:56:15,2022-06-14 09:55:14,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
RuiqianLi/malaya-speech_Mrbrown_finetune1,2022-06-09 09:01:56,2022-06-10 02:23:06,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Speech recognition']"
sayakpramanik/distilbert-base-uncased-finetuned-emotion,2022-06-06 09:52:27,2022-06-06 10:12:03,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by classification']"
kws/q-Taxi-v3,2022-07-06 10:23:57,2022-07-06 10:24:02,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Sequential decision making']"
jonatasgrosman/exp_w2v2t_it_r-wav2vec2_s317,2022-07-08 22:37:32,2022-07-08 22:37:57,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Speech recognition']"
osanseviero/swin_unetr_btcv_segmentation,2022-07-25 09:27:20,2022-07-25 09:27:25,"['Computing methodologies', 'Artificial intelligence', 'Computer vision', 'Computer vision problems', 'Image segmentation']"
jonatasgrosman/exp_w2v2t_de_vp-100k_s159,2022-07-10 10:00:18,2022-07-10 10:00:53,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Speech recognition']"
masterdezign/dqn1-SpaceInvadersNoFrameskip-v4,2022-07-20 14:52:26,2022-07-20 14:52:56,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning settings', 'Learning from demonstrations']"
jonatasgrosman/exp_w2v2t_sv-se_unispeech-ml_s35,2022-07-09 17:50:09,2022-07-09 17:50:40,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Speech recognition']"
jonatasgrosman/exp_w2v2t_ar_xlsr-53_s841,2022-07-10 16:03:47,2022-07-10 16:04:22,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Speech recognition']"
SusBioRes-UBC/testpyramidsrnd,2022-07-10 06:22:10,2022-07-10 06:22:15,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Multi-agent reinforcement learning']"
jonatasgrosman/exp_w2v2t_it_unispeech-sat_s500,2022-07-08 21:09:56,2022-07-08 21:10:22,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Speech recognition']"
namwoo/distilbert-base-uncased-finetuned-ner,2022-07-18 00:35:17,2022-07-18 00:38:09,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
jonatasgrosman/exp_w2v2t_id_xlsr-53_s449,2022-07-10 04:38:58,2022-07-10 04:39:32,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Speech recognition']"
jonatasgrosman/exp_w2v2r_fr_vp-100k_gender_male-2_female-8_s473,2022-07-25 12:33:11,2022-07-25 12:33:22,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Speech recognition']"
lmqg/mt5-base-frquad-qg,2022-07-17 23:33:30,2023-01-18 14:00:38,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
jonatasgrosman/exp_w2v2r_en_xls-r_gender_male-2_female-8_s201,2022-07-25 17:12:50,2022-07-25 17:13:02,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Speech recognition']"
snap/autotrain-argument-feedback-1154042511,2022-07-19 18:53:33,2022-07-19 19:17:44,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Lexical semantics']"
wenkai-li/distilbert-base-uncased-finetuned-wikiandmark_epoch20,2022-07-20 02:43:58,2022-07-20 07:33:19,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
fxmarty/20220713-h13m33s02_example_conll2003,2022-07-13 13:33:02,2022-07-13 13:33:09,"['Computing methodologies', 'Artificial intelligence', 'Search methodologies', 'Randomized search']"
moonzi/distilbert-base-uncased-finetuned-cola,2022-07-12 09:23:29,2022-07-12 09:35:36,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
jonatasgrosman/exp_w2v2t_es_wavlm_s26,2022-07-11 11:37:01,2022-07-11 11:37:51,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Speech recognition']"
annS/roberta-base-prop-16-train-set,2022-07-01 18:20:42,2022-07-01 18:39:43,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Discourse, dialogue and pragmatics']"
jonatasgrosman/exp_w2v2t_es_vp-100k_s468,2022-07-11 10:25:51,2022-07-11 10:26:18,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Speech recognition']"
infinitejoy/dqn-SpaceInvadersNoFrameskip-v4,2022-07-08 17:05:23,2022-07-08 17:14:02,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Learning in probabilistic graphical models', 'Bayesian network models']"
kontur-ai/sbert_punc_case_ru,2022-07-21 10:02:03,2024-03-22 11:13:27,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
Pro0100Hy6/test_trainer,2022-07-03 17:33:02,2022-07-03 17:45:59,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Lexical semantics']"
jonatasgrosman/exp_w2v2t_pt_wavlm_s118,2022-07-11 18:22:59,2022-07-11 18:23:23,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
dminiotas05/distilbert-base-uncased-finetuned-ft1500_norm1000,2022-08-04 12:02:33,2022-08-04 13:18:38,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
research-backup/roberta-large-semeval2012-v2-average-no-mask-prompt-b-nce,2022-08-19 23:10:39,2022-09-19 18:45:31,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
PKM230/Lunar_lander,2022-08-29 11:31:18,2022-08-29 11:32:51,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Reinforcement learning', 'Inverse reinforcement learning']"
DOOGLAK/Tagged_Uni_250v0_NER_Model_3Epochs_AUGMENTED,2022-08-11 18:49:41,2022-08-11 18:54:52,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
hhffxx/xlm-roberta-base-finetuned-panx-fr,2022-08-22 15:58:44,2022-08-26 19:04:02,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
szabob-uly/ady_classifier,2022-08-15 12:00:51,2022-08-15 12:25:09,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
MM2157/bert-finetuned-ner,2022-08-23 15:26:14,2022-09-07 17:06:42,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
rebolforces/qrdqn-SpaceInvadersNoFrameskip-20Meps,2022-08-17 00:52:05,2022-08-17 00:53:43,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Neural networks']"
bengeisler/distilbert-base-uncased-finetuned-emotion,2022-08-13 08:15:32,2022-08-14 09:19:29,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
research-backup/roberta-large-semeval2012-mask-prompt-a-loob,2022-08-26 06:59:38,2022-09-19 18:59:55,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Reasoning about belief and knowledge']"
JAlexis/ajuste_02,2022-08-29 02:08:03,2022-08-29 02:11:02,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Learning in probabilistic graphical models', 'Maximum likelihood modeling']"
olgaduchovny/t5-base-ner-mit-restaurant,2022-08-08 18:29:13,2022-08-18 17:37:37,"['Computing methodologies', 'Artificial intelligence', 'Knowledge representation and reasoning', 'Ontology engineering']"
wenkai-li/finetuned-marktextepoch-n200,2022-08-07 17:29:25,2022-08-08 03:37:00,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Supervised learning', 'Supervised learning by classification']"
theojolliffe/bart-paraphrase-v8-e1,2022-08-08 21:40:00,2022-08-09 00:31:37,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Natural language generation']"
sb3/a2c-MsPacmanNoFrameskip-v4,2022-08-05 19:36:37,2022-10-11 15:08:23,"['Computing methodologies', 'Artificial intelligence', 'Control methods', 'Robotic planning']"
l3cube-pune/hindi-roberta,2022-08-19 18:21:53,2023-06-17 15:31:32,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Language resources']"
alefarasin/a2c-AntBulletEnv-v0,2022-08-11 08:23:33,2022-08-11 08:24:37,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Machine learning approaches', 'Markov decision processes']"
Lvxue/distilled-mt5-small-010099_1,2022-08-10 02:20:53,2022-08-10 03:29:07,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Machine translation']"
clementchadebec/reproduced_vamp,2022-08-19 21:52:47,2022-08-20 07:51:07,"['Computing methodologies', 'Artificial intelligence', 'Machine learning', 'Learning paradigms', 'Unsupervised learning', 'Dimensionality reduction and manifold learning']"
ramrajput/bert-finetuned-squad,2022-08-16 12:30:00,2022-08-17 05:33:58,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Information extraction']"
Lvxue/distilled-mt5-small-b0.1,2022-08-17 02:45:42,2022-08-17 04:06:15,"['Computing methodologies', 'Artificial intelligence', 'Natural language processing', 'Machine translation']"
